ImageUrl,Name,Storage_details,Screen_size,Camera_details,Battery_details,Processor,Price in Rupees
https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/y/v/6/9-128-c-ta-1087-ds-nokia-6-original-imafg98nken2dhmh.jpeg?q=70,"Nokia 9 (Blue, 128 GB)",6 GB RAM | 128 GB ROM |,15.21 cm (5.99 inch) Quad HD+ Display,5 x 12MP | 20MP Front Camera,3320 mAh Battery,Qualcomm Snapdragon 845 Processor,"49,999"
https://rukminim1.flixcart.com/image/312/312/mobile/9/8/z/mi-redmi-note-4-na-original-imaeqdxjuadhagfc.jpeg?q=70,"Xiaomi Redmi Note 4 (Dark Grey, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Li-Polymer Battery,Qualcomm Snapdragon 625 64-bit Octa Core 2GHz Processor,"10,999"
https://rukminim1.flixcart.com/image/312/312/jlo1tow0/mobile/g/v/x/mi-redmi-6-na-original-imaf8qtkgh6qhs3p.jpeg?q=70,"Xiaomi Redmi 6 (Gold, 64 GB)",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP + 5MP | 5MP Front Camera,3000 mAh Lithium-polymer Battery,2.0 GHz Mediatek P22 Octacore Processor,"8,150"
https://rukminim1.flixcart.com/image/312/312/jog2nbk0/mobile/d/j/d/mi-redmi-e7t-na-original-imafazxhztrw9gnr.jpeg?q=70,"Xiaomi Redmi Note 6 Pro (Red, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.9 cm (6.26 inch) Full HD+ Display,12MP + 5MP | 20MP + 2MP Dual Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 636 Processor,"13,999"
https://rukminim1.flixcart.com/image/312/312/j5lchow0/mobile/k/k/r/samsung-c7-pro-sm-c701fnbdins-original-imaew2f45yfzzbsh.jpeg?q=70,"Samsung Galaxy C7 Pro (Navy Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,14.48 cm (5.7 inch) Full HD Display,16MP Rear Camera | 16MP Front Camera,3300 mAh Battery,Qualcomm Snapdragon Octa-Core 2.2GHz Processor,"26,600"
https://rukminim1.flixcart.com/image/312/312/j8bxvgw0-1/mobile/g/j/z/mi-mi-mix-2-na-original-imaeydgnjzmvxwfz.jpeg?q=70,"Xiaomi Mix 2 (Black, 128 GB)",6 GB RAM | 128 GB ROM |,15.21 cm (5.99 inch) Full HD+ Display,12MP Rear Camera | 5MP Front Camera,3400 mAh Li-polymer Battery,Qualcomm Snapdragon 835 Octa Core 2.5 GHz Processor,"29,999"
https://rukminim1.flixcart.com/image/312/312/jsdj8nk0/mobile/5/y/g/samsung-galaxy-s10-sm-g973fzwgins-original-imafdys4hrndgfzm.jpeg?q=70,"Samsung Galaxy S10 (Prism White, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 512 GB,15.49 cm (6.1 inch) Quad HD+ Display,16MP + 12MP | 10MP Front Camera,3400 mAh Lithium-ion Battery,Exynos 9 9820 Processor,"61,900"
https://rukminim1.flixcart.com/image/312/312/jq4353k0/mobile/2/n/s/vivo-y93-1815-original-imafc7bpynrfx3e2.jpeg?q=70,"Vivo Y93 (Nebula Purple, 64 GB)",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,4030 mAh Li-ion Battery,MediaTek Helio P22 Processor,"11,379"
https://rukminim1.flixcart.com/image/312/312/mobile/7/a/v/motorola-moto-m-xt1663-original-imaep5639hp5zc5j.jpeg?q=70,"Motorola M (Grey, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,16MP Rear Camera | 8MP Front Camera,3050 mAh Li-Polymer Battery,MediaTek Helio P15 64-bit Octa Core 2.2GHz Processor,"9,999"
https://rukminim1.flixcart.com/image/312/312/j5lchow0/mobile/a/c/z/samsung-galaxy-a7-2017-sm-a720fzddins-original-imaew8vk2vkt4kgc.jpeg?q=70,"Samsung Galaxy A7-2017 (Gold Sand, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.48 cm (5.7 inch) Full HD Display,16MP Rear Camera | 16MP Front Camera,3600 mAh Battery,Exynos 7880 64-bit Processor,"25,900"
